Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.41428571428571426,0.41428571428571426,0.8,0.5454545454545454,20250422_191754,DNN,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
1,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,20250422_191754,DNN,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
2,0.5,0.5,1.0,0.6666666666666666,20250422_191754,DNN,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
3,0.5,0.5,1.0,0.6666666666666666,20250422_191754,DNN,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
4,0.5,0.5,1.0,0.6666666666666666,20250422_191754,DNN,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
5,0.0,0.0,0.0,0.0,20250422_191754,DNN,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
