Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.6602402022756004,0.6714984434547682,0.6795739348370928,0.6714287078860842,20250422_220019,VGG13+BiGRU+Att,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
1,0.5486725663716814,0.5405405405405406,0.7017543859649122,0.6106870229007634,20250422_220019,VGG13+BiGRU+Att,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
2,0.7168141592920354,0.6984126984126984,0.7719298245614035,0.7333333333333333,20250422_220019,VGG13+BiGRU+Att,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
3,0.7232142857142857,0.7450980392156863,0.6785714285714286,0.7102803738317757,20250422_220019,VGG13+BiGRU+Att,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
4,0.7321428571428571,0.7872340425531915,0.6491228070175439,0.7115384615384616,20250422_220019,VGG13+BiGRU+Att,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
5,0.5803571428571429,0.5862068965517241,0.5964912280701754,0.591304347826087,20250422_220019,VGG13+BiGRU+Att,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
