Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.9074115037918091,0.9043868338302957,0.9155388471177945,0.9088374633351073,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.9292035102844238,0.9180327868852459,0.9824561403508771,0.9491525423728814,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.9203540086746216,0.9137931034482759,0.9298245614035088,0.9217391304347826,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.875,0.8387096774193549,0.9285714285714286,0.8813559322033898,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.8928571343421936,0.9090909090909091,0.8771929824561403,0.8928571428571429,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.9196428656578064,0.9423076923076923,0.8596491228070176,0.8990825688073395,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
