Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.8381637168141592,0.8062359352997375,0.8946741854636591,0.8474784866226448,20250422_214109,CNN0,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
1,0.7610619469026548,0.7419354838709677,0.8070175438596491,0.773109243697479,20250422_214109,CNN0,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
2,0.8672566371681416,0.8181818181818182,0.9473684210526315,0.8780487804878049,20250422_214109,CNN0,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
3,0.8839285714285714,0.8208955223880597,0.9821428571428571,0.8943089430894309,20250422_214109,CNN0,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
4,0.8303571428571429,0.8275862068965517,0.8421052631578947,0.8347826086956521,20250422_214109,CNN0,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
5,0.8482142857142857,0.8225806451612904,0.8947368421052632,0.8571428571428571,20250422_214109,CNN0,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
