Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.9551724137931034,0.960922410922411,0.9517241379310345,0.954879868292432,20250428_140514,CNN0,PSD por bandas segmentado,Nested_CV,128,30,0.001,adam
1,0.9137931034482759,0.9615384615384616,0.8620689655172413,0.9090909090909091,20250428_140514,CNN0,PSD por bandas segmentado,Nested_CV,128,30,0.001,adam
2,0.9827586206896551,1.0,0.9655172413793104,0.9824561403508771,20250428_140514,CNN0,PSD por bandas segmentado,Nested_CV,128,30,0.001,adam
3,0.9310344827586207,0.8787878787878788,1.0,0.9354838709677419,20250428_140514,CNN0,PSD por bandas segmentado,Nested_CV,128,30,0.001,adam
4,0.9482758620689655,0.9642857142857143,0.9310344827586207,0.9473684210526315,20250428_140514,CNN0,PSD por bandas segmentado,Nested_CV,128,30,0.001,adam
5,1.0,1.0,1.0,1.0,20250428_140514,CNN0,PSD por bandas segmentado,Nested_CV,128,30,0.001,adam
