Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.8384389162063599,0.976923076923077,0.7057471264367815,0.8138923310890964,20250421_014954,CNN0,MinMax Scaler + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.8965517282485962,1.0,0.6896551724137931,0.8163265306122449,20250421_014954,CNN0,MinMax Scaler + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.8390804529190063,1.0,0.8275862068965517,0.9056603773584906,20250421_014954,CNN0,MinMax Scaler + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.8505747318267822,1.0,0.5517241379310345,0.7111111111111111,20250421_014954,CNN0,MinMax Scaler + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.8850574493408203,1.0,0.6666666666666666,0.8,20250421_014954,CNN0,MinMax Scaler + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.7209302186965942,0.8846153846153846,0.7931034482758621,0.8363636363636363,20250421_014954,CNN0,MinMax Scaler + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
