Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.509023380279541,0.5071052677284331,0.5662907268170426,0.5202062448554623,20250424_192410,LSTM1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.4159291982650757,0.4666666666666667,0.3684210526315789,0.4117647058823529,20250424_192410,LSTM1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.5309734344482422,0.5384615384615384,0.49122807017543857,0.5137614678899083,20250424_192410,LSTM1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.5178571343421936,0.5116279069767442,0.39285714285714285,0.4444444444444444,20250424_192410,LSTM1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.5446428656578064,0.4854368932038835,0.8771929824561403,0.625,20250424_192410,LSTM1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.5357142686843872,0.5333333333333333,0.7017543859649122,0.6060606060606061,20250424_192410,LSTM1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
