Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.5190476190476191,0.42000000000000004,0.65,0.4833333333333333,20250422_191622,CNN0,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
1,0.42857142857142855,0.5,0.25,0.3333333333333333,20250422_191622,CNN0,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
2,0.5,0.5,1.0,0.6666666666666666,20250422_191622,CNN0,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
3,0.5,0.0,0.0,0.0,20250422_191622,CNN0,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
4,0.6666666666666666,0.6,1.0,0.75,20250422_191622,CNN0,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
5,0.5,0.5,1.0,0.6666666666666666,20250422_191622,CNN0,Extracción de potencia por bandas (señal filtrada con notch),Nested_CV,128,30,0.001,adam
