Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.6451612903225806,0.25806451612903225,0.25806451612903225,0.25806451612903225,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
1,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
2,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
3,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
4,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
5,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
6,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
7,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
8,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
9,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
11,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
12,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
13,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
14,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
15,1.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
16,0.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
17,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
18,1.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
19,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
20,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
21,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
22,1.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
23,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
24,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
25,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
27,1.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
28,0.0,0.0,0.0,0.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
29,1.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
30,1.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
31,1.0,1.0,1.0,1.0,20250423_211135,DNN,Potencia por banda EEG (γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
