Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.4931034505367279,0.3070197044334975,0.6,0.4061675579322638,20250428_134231,EEGNet2D,Imágenes STFT (STFT → CNN),K-fold_CV,128,30,0.001,adam
1,0.5,0.0,0.0,0.0,20250428_134231,EEGNet2D,Imágenes STFT (STFT → CNN),K-fold_CV,128,30,0.001,adam
2,0.5344827771186829,0.5178571428571429,1.0,0.6823529411764706,20250428_134231,EEGNet2D,Imágenes STFT (STFT → CNN),K-fold_CV,128,30,0.001,adam
3,0.4137931168079376,0.0,0.0,0.0,20250428_134231,EEGNet2D,Imágenes STFT (STFT → CNN),K-fold_CV,128,30,0.001,adam
4,0.5,0.5,1.0,0.6666666666666666,20250428_134231,EEGNet2D,Imágenes STFT (STFT → CNN),K-fold_CV,128,30,0.001,adam
5,0.517241358757019,0.5172413793103449,1.0,0.6818181818181818,20250428_134231,EEGNet2D,Imágenes STFT (STFT → CNN),K-fold_CV,128,30,0.001,adam
