Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.5483870967741935,0.2903225806451613,0.2903225806451613,0.2903225806451613,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
1,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
2,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
3,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
4,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
5,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
6,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
7,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
8,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
9,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
11,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
12,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
13,1.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
14,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
15,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
16,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
18,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
19,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
20,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
21,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
22,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
23,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
24,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
25,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
27,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
28,1.0,1.0,1.0,1.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
29,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
30,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
31,0.0,0.0,0.0,0.0,20250424_011618,DNN,Potencia por bandas EEG (α–β) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
