Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.9620689630508423,0.9532872503840245,0.9726436781609195,0.9625810288432947,20250424_220507,CNN_PSD_Bandas,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
1,0.9482758641242981,0.9642857142857143,0.9310344827586207,0.9473684210526315,20250424_220507,CNN_PSD_Bandas,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
2,0.982758641242981,0.9666666666666667,1.0,0.9830508474576272,20250424_220507,CNN_PSD_Bandas,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
3,0.9655172228813171,0.9354838709677419,1.0,0.9666666666666667,20250424_220507,CNN_PSD_Bandas,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
4,0.9482758641242981,0.9333333333333333,0.9655172413793104,0.9491525423728814,20250424_220507,CNN_PSD_Bandas,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
5,0.9655172228813171,0.9666666666666667,0.9666666666666667,0.9666666666666667,20250424_220507,CNN_PSD_Bandas,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
